Village Name,Bucket,6842,Minimum,Q1,Median,Q3,Maximum,Outlier - Min Count,Outlier - Max Count
Total Area,Demographics,"  4,195,635 ",  2 ,  211 ,  395 ,  769 ,"  16,523 ",  -   ,  485 
Households,Demographics,"  3,043,756 ",  -   ,  167 ,  320 ,  578 ,"  5,996 ",  -   ,  419 
Population,Demographics,"  16,509,359 ",  -   ,  919 ,"  1,749 ","  3,128 ","  30,094 ",  -   ,  414 
Male Population,Demographics,"  8,774,006 ",  -   ,  485 ,  928 ,"  1,660 ","  15,873 ",  -   ,  417 
Female Population,Demographics,"  7,735,353 ",  -   ,  432 ,  820 ,"  1,467 ","  14,221 ",  -   ,  410 
Primary School,Education,"  3,489 ",  -   ,  -   ,  -   ,  1 ,  12 ,  -   ,  219 
Primary School-Distance,Education,"  59,865 ",  -   ,  5 ,  10 ,  13 ,  15 ,  -   ,  -   
Middle Schools,Education,"  7,954 ",  -   ,  -   ,  1 ,  2 ,  15 ,  -   ,  46 
Middle Schools-Distance,Education,"  78,065 ",  -   ,  10 ,  13 ,  13 ,  15 ,  527 ,  -   
Secondary Schools,Education,"  5,011 ",  -   ,  -   ,  -   ,  1 ,  10 ,  -   ,  396 
Secondary Schools-Distance,Education,"  68,245 ",  -   ,  10 ,  10 ,  13 ,  15 ,"  1,424 ",  -   
Senior Secondary Schools,Education,"  2,618 ",  -   ,  -   ,  -   ,  -   ,  8 ,  -   ,"  1,669 "
Senior Secondary Schools-Distance,Education,"  56,958 ",  -   ,  5 ,  10 ,  13 ,  15 ,  -   ,  -   
Arts and Science Degree College,Education,  34 ,  -   ,  -   ,  -   ,  -   ,  2 ,  -   ,  32 
Arts and Science Degree College-Distance,Education,"  21,245 ",  -   ,  -   ,  -   ,  5 ,  15 ,  -   ,  199 
Engineering College,Education,  106 ,  -   ,  -   ,  -   ,  -   ,  4 ,  -   ,  95 
Engineering College-Distance,Education,"  17,418 ",  -   ,  -   ,  -   ,  5 ,  15 ,  -   ,  199 
