"","District.Name","Village.Name","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Total.Pre.-.Primary.School","Distance","Total.Middle.Schools","Distance.1","Total.Secondary.Schools","Distance.2","Total.Senior.Secondary.Schools","Distance.3","Total.Arts.and.Science.Degree.College","Distance.4","Total.Engineering.College","Distance.5","Total.Medicine.College","Distance.6","Total.Management.Institute","Distance.7","Total.Vocational.Training.School/ITI","Distance.8","Total.Non.Formal.Training.Centre.(Status.A(1)/NA(2))","Total.School.For.Disabled","Distance.9","Distance10","Clusters"
"1","Panchkula","Khokhra (100)",315,188,1119,600,519,0,10,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2","Panchkula","Nawannagar (98)",231,245,1388,788,600,0,5,1,12.5,1,12.5,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2
"3","Panchkula","Kona (93)",266,331,1800,950,850,0,10,1,12.5,0,10,0,10,0,5,0,5,0,0,0,5,0,0,0,0,0,0,1
"4","Panchkula","Rampur Jangi (92)",207,264,1429,724,705,1,12.5,2,12.5,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,2
"5","Panchkula","Nanakpur (91)",345,456,2436,1272,1164,1,12.5,2,12.5,2,12.5,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"6","Panchkula","Johlowal (129)",285,298,1711,962,749,0,10,1,12.5,0,10,0,10,0,0,0,5,0,0,0,5,0,0,0,0,0,0,2
"7","Panchkula","Charnian (128)",272,281,1618,873,745,0,5,1,12.5,1,12.5,0,5,0,0,0,5,0,0,0,5,0,5,0,0,0,0,2
"8","Panchkula","Kheranwali (130)",242,372,1899,983,916,2,12.5,2,12.5,2,12.5,0,10,0,5,0,10,0,0,0,10,0,5,0,0,0,0,1
"9","Panchkula","Kiratpur (127)",238,392,1996,1048,948,0,5,1,12.5,1,12.5,0,10,0,0,0,5,0,0,0,5,0,5,0,0,0,0,1
"10","Panchkula","Gariran (126)",279,195,1021,540,481,0,5,0,10,0,10,0,10,0,0,0,5,0,0,0,5,0,5,0,0,0,0,2
"11","Panchkula","Majra Mehtab (140)",165,283,1567,791,776,0,10,0,10,0,10,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,2
"12","Panchkula","Tagra Kali Ram (145)",61,417,1957,1022,935,0,10,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
"13","Panchkula","Basawal (125)",174,247,1364,718,646,1,12.5,2,12.5,1,12.5,1,12.5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,2
"14","Panchkula","Basdevpura (151)",255,225,1210,617,593,1,12.5,2,12.5,0,5,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,5,2
"15","Panchkula","Dhamala (122)",421,328,1873,989,884,1,12.5,3,12.5,0,10,0,10,0,5,0,0,0,0,0,0,0,5,0,0,0,5,1
"16","Panchkula","Lohgarh (121)",150,205,1115,600,515,1,12.5,1,12.5,0,5,0,5,0,5,0,0,0,0,0,0,0,5,0,0,0,5,2
"17","Panchkula","Manakpur Devilal(118)",62,229,1201,649,552,1,12.5,1,12.5,0,10,0,10,0,5,0,0,0,0,0,0,0,5,0,0,0,5,2
"18","Panchkula","Rajipur  Part (108)",120,456,2055,1075,980,1,12.5,2,12.5,1,12.5,1,12.5,0,5,0,0,0,0,0,5,0,5,0,0,5,10,3
"19","Panchkula","Toran (159)",117,261,1320,687,633,0,5,0,10,0,10,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2
"20","Panchkula","Miranpur Bakhshiwala (194)",334,232,1296,677,619,0,10,0,10,0,10,0,10,0,5,0,0,0,0,0,0,0,5,0,0,0,5,2
"21","Panchkula","Chikan (185)",178,195,1023,541,482,0,10,1,12.5,1,12.5,1,12.5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2
"22","Panchkula","Fatehpur Diwanwala (181)",509,296,1737,891,846,1,12.5,1,12.5,0,10,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
"23","Panchkula","Kotian (196)",258,360,1914,928,986,0,10,1,12.5,1,12.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"24","Panchkula","Bhagwanpur (193)",156,443,1763,930,833,1,12.5,1,12.5,1,12.5,1,12.5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
"25","Panchkula","Chaunki (198)",166,346,1552,869,683,0,10,1,12.5,0,10,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,10,3
