"","District.Name","Village.Name","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Well.Functioning","Hand.Pump.Functioning","Tube.Wells/Borehole.Functioning","River/Canal.Status","River/Canal.Functioning.All.round.the.year","Tank/Pond/Lake.Functioning.All.round.the.year","Net.Area.Sown.(in.Hectares)","Total.Unirrigated.Land.Area.(in.Hectares)","Area.Irrigated.by.Source.(in.Hectares)","Canals.Area.(in.Hectares)","Wells/Tube.Wells.Area.(in.Hectares)","Tanks/Lakes.Area.(in.Hectares)","Waterfall.Area.(in.Hectares)","Other.Source.(specify).Area.(in.Hectares)","Clusters"
"1","Panchkula","Khokhra (100)",315,188,1119,600,519,0,1,1,0,0,0,147,84,63,0,46,17,0,0,1
"2","Panchkula","Nawannagar (98)",231,245,1388,788,600,0,0,1,0,0,0,100,37,63,0,45,18,0,0,1
"3","Panchkula","Kona (93)",266,331,1800,950,850,0,1,1,0,0,1,156,91,65,0,38,27,0,0,1
"4","Panchkula","Rampur Jangi (92)",207,264,1429,724,705,0,0,1,0,0,1,126,93,33,0,18,15,0,0,1
"5","Panchkula","Nanakpur (91)",345,456,2436,1272,1164,0,0,1,0,0,1,252,163,89,0,11,78,0,0,2
"6","Panchkula","Johlowal (129)",285,298,1711,962,749,0,0,1,0,0,0,181,125,56,0,56,0,0,0,1
"7","Panchkula","Charnian (128)",272,281,1618,873,745,0,0,1,0,0,0,173,56,117,0,117,0,0,0,1
"8","Panchkula","Kheranwali (130)",242,372,1899,983,916,0,0,1,0,0,0,127,86,41,0,41,0,0,0,1
"9","Panchkula","Kiratpur (127)",238,392,1996,1048,948,0,0,1,0,0,0,133,53,80,0,80,0,0,0,1
"10","Panchkula","Gariran (126)",279,195,1021,540,481,0,0,1,0,0,0,160,123,37,0,37,0,0,0,1
"11","Panchkula","Majra Mehtab (140)",165,283,1567,791,776,0,0,1,0,0,0,88,88,0,0,0,0,0,0,1
"12","Panchkula","Tagra Kali Ram (145)",61,417,1957,1022,935,0,0,1,0,0,0,21,21,0,0,0,0,0,0,1
"13","Panchkula","Basawal (125)",174,247,1364,718,646,1,0,1,0,0,1,89,21,68,0,68,0,0,0,1
"14","Panchkula","Basdevpura (151)",255,225,1210,617,593,1,0,1,0,0,1,155,145,10,0,10,0,0,0,1
"15","Panchkula","Dhamala (122)",421,328,1873,989,884,1,0,1,0,0,1,182,86,96,0,84,12,0,0,1
"16","Panchkula","Lohgarh (121)",150,205,1115,600,515,1,0,1,0,0,1,86,24,62,0,30,32,0,0,1
"17","Panchkula","Manakpur Devilal(118)",62,229,1201,649,552,1,0,1,0,0,1,51,43,8,0,0,8,0,0,1
"18","Panchkula","Rajipur  Part (108)",120,456,2055,1075,980,1,0,1,0,0,1,26,6,20,0,9,11,0,0,1
"19","Panchkula","Toran (159)",117,261,1320,687,633,0,0,0,0,0,0,54,38,16,0,0,16,0,0,1
"20","Panchkula","Miranpur Bakhshiwala (194)",334,232,1296,677,619,0,0,1,0,0,0,122,92,30,0,30,0,0,0,1
"21","Panchkula","Chikan (185)",178,195,1023,541,482,0,0,1,0,0,0,130,88,42,0,42,0,0,0,1
"22","Panchkula","Fatehpur Diwanwala (181)",509,296,1737,891,846,0,0,1,0,0,0,225,206,19,0,19,0,0,0,1
"23","Panchkula","Kotian (196)",258,360,1914,928,986,0,0,1,0,0,0,112,42,70,0,70,0,0,0,1
"24","Panchkula","Bhagwanpur (193)",156,443,1763,930,833,0,0,1,0,0,0,64,11,53,0,53,0,0,0,1
"25","Panchkula","Chaunki (198)",166,346,1552,869,683,0,0,0,0,0,0,88,68,20,0,20,0,0,0,1
"26","Panchkula","Manka (233)",644,335,1822,1005,817,1,1,1,0,0,1,104,29,75,0,75,0,0,0,1
"27","Panchkula","Boonga (225)",399,298,1725,899,826,0,0,1,0,0,0,148,17,131,0,131,0,0,0,1
"28","Panchkula","Dabkauri (224)",325,206,1198,637,561,0,1,1,0,0,0,232,81,151,0,113,38,0,0,1
"29","Panchkula","Khangesra (240)",293,186,1077,567,510,0,1,1,0,0,0,259,48,211,0,0,211,0,0,1
"30","Panchkula","Alipur (237)",269,230,1101,609,492,0,0,1,0,0,0,132,13,119,0,0,119,0,0,1
"31","Panchkula","Nagal (238)",297,226,1269,667,602,0,0,1,0,0,0,174,5,169,0,169,0,0,0,1
"32","Panchkula","Jalouli (240)",223,288,1463,772,691,0,0,1,0,0,0,145,13,132,0,132,0,0,0,1
"33","Panchkula","Sultanpur (241)",101,183,1037,503,534,0,0,1,0,0,0,83,0,83,0,83,0,0,0,1
"34","Panchkula","Bhagwanpur (248)",256,253,1344,714,630,0,0,1,0,0,0,215,5,210,0,210,0,0,0,1
"35","Panchkula","Rehawar (239)",363,224,1241,661,580,0,0,0,0,0,0,205,56,149,0,149,0,0,0,1
"36","Panchkula","Dhandaurru (4)",233,197,1149,618,531,0,0,0,0,0,0,152,5,147,0,147,0,0,0,1
"37","Panchkula","Shamtoo (241)",376,324,1886,1028,858,0,0,1,0,0,0,240,0,240,0,240,0,0,0,2
"38","Panchkula","Manak Tabra (244)",584,373,1965,1054,911,0,0,1,0,0,0,303,73,230,0,230,0,0,0,2
"39","Panchkula","Kazampur (211)",444,213,1244,669,575,0,0,1,0,0,0,337,105,232,0,232,0,0,0,1
"40","Panchkula","Taparian (214)",260,291,1585,848,737,0,0,1,0,0,0,153,81,72,0,18,0,0,54,1
"41","Panchkula","Kherwali Palwala (243)",252,257,1540,802,738,1,0,1,0,0,0,117,73,44,0,44,0,0,0,1
"42","Panchkula","Tibbi (220)",303,188,1153,612,541,0,1,0,0,0,0,202,0,202,0,192,10,0,0,1
"43","Panchkula","Bhoj Palasra (316)",269,342,1867,999,868,0,0,0,0,0,0,238,236,2,0,0,0,0,2,1
"44","Panchkula","Bhoj Dharti (318)",203,240,1330,681,649,0,0,0,0,0,0,76,68,8,0,0,0,0,8,1
"45","Panchkula","Bhoj Koti (322)",242,183,1008,515,493,0,0,0,0,0,0,223,170,53,0,0,0,0,53,1
"46","Panchkula","Bhoj Ponta (315)",309,211,1186,625,561,0,0,0,0,0,0,135,125,10,0,0,0,0,10,1
"47","Panchkula","Bhoj Kudana (314)",316,247,1334,721,613,0,0,1,0,0,1,263,256,7,0,0,0,0,7,1
"48","Panchkula","Bhoj Jabial (324)",139,281,1361,706,655,0,0,0,0,0,0,76,71,5,0,0,0,0,5,1
"49","Panchkula","Bhud (199)",397,201,1206,634,572,0,0,0,0,0,0,114,40,74,0,74,0,0,0,1
"50","Panchkula","Rahna (204)",226,227,1449,752,697,1,0,1,0,0,0,90,27,63,0,63,0,0,0,1
"51","Panchkula","Badhaur (208)",310,303,1790,953,837,0,0,0,0,0,1,95,43,52,0,52,0,0,0,1
"52","Panchkula","Rampur (209)",326,198,1121,610,511,0,0,0,0,0,0,215,89,126,0,126,0,0,0,1
"53","Panchkula","Pyarewala (250)",335,424,2288,1354,934,0,0,0,0,0,0,128,35,93,0,93,0,0,0,2
"54","Panchkula","Ferozepur (247)",278,174,1019,541,478,0,0,0,0,0,0,219,124,95,0,95,0,0,0,1
"55","Panchkula","Hangola (265)",564,307,1669,876,793,0,0,0,0,0,0,391,275,116,0,116,0,0,0,1
"56","Panchkula","Samlehri (11)",152,237,1283,681,602,0,1,1,0,0,0,126,68,58,0,58,0,0,0,1
"57","Panchkula","Barauna Kalan (9)",161,220,1198,621,577,0,0,0,0,0,0,98,11,87,0,0,87,0,0,1
"58","Panchkula","Kheri (10)",287,288,1605,823,782,0,1,0,0,0,0,223,64,159,0,159,0,0,0,1
"59","Panchkula","Haripur (13)",383,286,1449,760,689,0,0,1,0,0,0,264,58,206,0,206,0,0,0,1
