feature,importance
derived_population_density,844
derived_avg_household_size,835
agri_area_under_non_agricultural_uses_in_hectares,813
irrig_area_irrigated_by_source_in_hectares,776
derived_land_per_hh,758
total_geographical_area_in_hectares,709
derived_gender_ratio,678
irrig_total_unirrigated_land_area_in_hectares,642
irrig_net_area_sown_in_hectares,570
irrig_wells_tube_wells_area_in_hectares,526
derived_total_health_facilities,440
derived_total_schools,375
agri_culturable_waste_land_area_in_hectares,290
agri_clusters,266
irrig_canals_area_in_hectares,257
health_clusters,244
social_clusters,225
edu_clusters,224
agri_rice,169
agri_musturd,168
agri_barren_&_un_cultivable_land_area_in_hectares,162
irrig_clusters,138
edu_total_secondary_schools,134
infra_clusters,128
edu_total_middle_schools,113
irrig_hand_pump_functioning,113
health_distance_2,109
infra_distance_7,108
health_primary_heallth_sub_centre_doctors_total_strength_numbers,105
social_distance_7,101
infra_distance,101
social_agricultural_credit_societies,98
edu_distance,96
infra_distance_9,95
social_distance_1,94
social_sports_field,93
irrig_tank_pond_lake_functioning_all_round_the_year,91
edu_distance_4,89
health_primary_heallth_sub_centre_numbers,87
infra_water_treatment_sewar_plants,86
infra_no_system_garbage_on_road_street,83
edu_total_senior_secondary_schools,82
edu_distance_2,82
health_distance_8,82
agri_current_fallows_area_in_hectares,80
irrig_tube_wells_borehole_functioning,80
irrig_well_functioning,79
infra_distance_2,78
social_distance_6,74
health_distance_3,74
infra_pco,73
infra_distance_4,71
edu_total_pre_primary_school,69
social_mandis_regular_market,67
health_distance_7,67
health_distance_10,66
edu_distance_3,66
social_distance_8,64
infra_post_office_or_sub_post_office,63
edu_distance_8,62
health_distance_6,62
agri_others,61
edu_distance_7,61
infra_closed_drainage,60
health_distance_4,60
infra_private_bus_service_status_a1_na2,59
agri_forest_area_in_hectares,55
health_distance_9,54
social_distance_2,53
agri_wheat,53
social_weekly_haat,51
health_distance,51
health_primary_heallth_sub_centre_doctors_in_position_numbers,51
infra_distance_6,50
irrig_river_canal_functioning_all_round_the_year,49
social_distance_3,49
social_distance_9,49
health_distance_1,47
infra_distance_3,45
derived_is_urban,45
social_community_centre_with_without_tv,43
infra_total_sanitation_campaign_tsc,43
health_maternity_and_child_welfare_centre_numbers,42
edu_distance_1,42
agri_permanent_pastures_and_other_grazing_land_area_in_hectares,40
health_distance_5,40
health_primary_health_centre_doctors_total_strength_numbers,39
social_distance_10,39
irrig_river_canal_status,38
infra_distance_5,36
edu_distance_5,36
agri_land_under_miscellaneous_tree_crops_etc_area_in_hectares,35
social_distance_4,35
edu_distance10,34
social_agricultural_marketing_society,33
health_veterinary_hospital_doctors_in_position_numbers,32
infra_community_waste_disposal_system_after_house_to_house_collection,32
infra_internet_cafes_common_service_centre_csc,30
health_maternity_and_child_welfare_centre_doctors_total_strength_numbers,30
health_veterinary_hospital_doctors_total_strength_numbers,29
infra_private_courier_facility,29
edu_total_vocational_training_school_iti,29
edu_total_management_institute,27
edu_distance_9,26
infra_community_bio_gas_or_recycle_of_waste_for_production_use,25
social_banks_on_any_kind,25
social_assembly_polling_station,25
infra_community_toilet_complex,24
infra_public_bus_service,23
health_community_health_centre_numbers,23
infra_distance_1,23
health_veterinary_hospital_numbers,23
infra_railway_station,22
social_sports_club_recreation_centre,22
infra_highways,18
health_dispensary_doctors_in_position_numbers,18
agri_fallows_land_other_than_current_fallows_area_in_hectares,17
social_distance_5,16
irrig_other_source_specify_area_in_hectares,16
edu_distance_6,15
infra_telephone,15
infra_other_transport_auto_van_rickshaw_etc,14
infra_distance_8,13
edu_total_engineering_college,13
infra_distance_10,11
health_dispensary_doctors_total_strength_numbers,11
social_public_library,9
social_asha,9
infra_open_drainage,8
health_maternity_and_child_welfare_centre_doctors_in_position_numbers,7
irrig_tanks_lakes_area_in_hectares,7
health_total_positions_doctors_support,6
health_primary_health_centre_numbers,6
health_primary_health_centre_doctors_in_position_numbers,6
health_dispensary_numbers,5
infra_community_toilet_complex_excluding_bath_for_general_public,4
infra_other_pucca_roads,4
social_distance,4
health_total_required_strength_doctors_support,4
health_hospiltal_alternative_medicine_doctors_in_position_numbers,2
health_hospiltal_alternative_medicine_numbers,1
edu_total_non_formal_training_centre_status_a_1_na_2,0
edu_total_medicine_college,0
edu_total_arts_and_science_degree_college,0
health_hospital_allopathic_numbers,0
infra_tap_water_treated,0
health_family_welfare_centre_numbers,0
health_mobile_health_clinic_doctors_total_strength_numbers,0
health_mobile_health_clinic_numbers,0
health_mobile_health_clinic_doctors_in_position_numbers,0
health_family_welfare_centre_doctors_in_position_numbers,0
health_family_welfare_centre_doctors_total_strength_numbers,0
health_hospiltal_alternative_medicine_doctors_total_strength_numbers,0
edu_total_school_for_disabled,0
health_tb_clinic_doctors_in_position_numbers,0
health_tb_clinic_numbers,0
health_tb_clinic_doctors_total_strength_numbers,0
health_hospital_allopathic_doctors_in_position_numbers,0
health_hospital_allopathic_doctors_total_strength_numbers,0
irrig_waterfall_area_in_hectares,0
infra_kuchha_roads,0
