feature,importance
agri_area_under_non_agricultural_uses_in_hectares,1622
derived_avg_household_size,1579
derived_population_density,1468
derived_gender_ratio,1381
derived_land_per_hh,1361
total_geographical_area_in_hectares,1336
irrig_area_irrigated_by_source_in_hectares,1198
irrig_wells_tube_wells_area_in_hectares,1084
irrig_net_area_sown_in_hectares,1041
irrig_total_unirrigated_land_area_in_hectares,1017
derived_total_health_facilities,619
derived_total_schools,602
agri_culturable_waste_land_area_in_hectares,537
irrig_canals_area_in_hectares,483
agri_clusters,366
social_clusters,359
health_clusters,355
agri_barren_&_un_cultivable_land_area_in_hectares,311
edu_clusters,281
agri_rice,280
agri_musturd,277
irrig_clusters,230
infra_clusters,215
infra_distance,212
infra_distance_7,208
social_distance_1,197
social_distance_7,190
health_distance_2,187
edu_total_middle_schools,183
edu_total_secondary_schools,180
edu_distance,170
infra_distance_9,165
social_distance_6,164
health_distance_8,163
edu_distance_2,156
health_primary_heallth_sub_centre_doctors_total_strength_numbers,152
health_distance_7,147
edu_distance_3,144
infra_distance_2,142
irrig_hand_pump_functioning,140
agri_current_fallows_area_in_hectares,137
irrig_well_functioning,132
health_distance_4,132
edu_distance_4,131
health_primary_heallth_sub_centre_numbers,128
edu_total_senior_secondary_schools,125
infra_distance_4,125
edu_distance_8,122
health_distance_3,120
health_distance_10,118
social_sports_field,117
health_distance,117
infra_pco,115
health_distance_1,113
infra_no_system_garbage_on_road_street,113
irrig_tank_pond_lake_functioning_all_round_the_year,111
infra_distance_3,111
infra_water_treatment_sewar_plants,111
agri_others,110
irrig_tube_wells_borehole_functioning,105
health_distance_9,104
edu_distance_5,104
agri_forest_area_in_hectares,102
edu_distance_1,102
social_distance_3,101
edu_total_pre_primary_school,100
infra_private_bus_service_status_a1_na2,96
social_distance_8,92
infra_distance_6,91
edu_distance_7,90
social_distance_9,89
health_distance_6,89
infra_post_office_or_sub_post_office,86
agri_fallows_land_other_than_current_fallows_area_in_hectares,86
agri_wheat,86
infra_closed_drainage,84
edu_distance10,78
social_agricultural_credit_societies,77
social_distance_4,77
health_distance_5,73
health_veterinary_hospital_doctors_total_strength_numbers,73
irrig_other_source_specify_area_in_hectares,73
derived_is_urban,72
social_distance_2,70
agri_permanent_pastures_and_other_grazing_land_area_in_hectares,67
health_primary_heallth_sub_centre_doctors_in_position_numbers,62
health_primary_health_centre_doctors_total_strength_numbers,62
infra_distance_5,59
agri_land_under_miscellaneous_tree_crops_etc_area_in_hectares,59
irrig_river_canal_functioning_all_round_the_year,55
infra_total_sanitation_campaign_tsc,55
irrig_river_canal_status,54
health_veterinary_hospital_doctors_in_position_numbers,53
social_mandis_regular_market,51
health_maternity_and_child_welfare_centre_doctors_total_strength_numbers,49
social_community_centre_with_without_tv,48
infra_community_waste_disposal_system_after_house_to_house_collection,45
infra_highways,44
edu_distance_9,43
infra_internet_cafes_common_service_centre_csc,43
social_weekly_haat,42
infra_public_bus_service,40
social_distance_10,38
health_veterinary_hospital_numbers,38
health_maternity_and_child_welfare_centre_numbers,37
social_banks_on_any_kind,37
infra_distance_1,34
edu_total_vocational_training_school_iti,34
social_sports_club_recreation_centre,32
health_dispensary_doctors_in_position_numbers,32
edu_total_management_institute,30
infra_community_bio_gas_or_recycle_of_waste_for_production_use,30
health_community_health_centre_numbers,29
social_distance_5,28
social_agricultural_marketing_society,27
infra_community_toilet_complex,26
social_assembly_polling_station,25
edu_distance_6,25
infra_railway_station,24
infra_open_drainage,24
health_dispensary_doctors_total_strength_numbers,23
infra_telephone,20
infra_other_transport_auto_van_rickshaw_etc,20
infra_private_courier_facility,19
health_primary_health_centre_doctors_in_position_numbers,19
health_maternity_and_child_welfare_centre_doctors_in_position_numbers,18
irrig_tanks_lakes_area_in_hectares,17
social_asha,16
infra_distance_8,14
infra_distance_10,14
edu_total_engineering_college,11
social_public_library,9
health_primary_health_centre_numbers,8
infra_community_toilet_complex_excluding_bath_for_general_public,8
health_total_positions_doctors_support,8
health_dispensary_numbers,7
infra_other_pucca_roads,7
social_distance,5
health_hospiltal_alternative_medicine_doctors_in_position_numbers,4
health_family_welfare_centre_numbers,1
health_total_required_strength_doctors_support,1
edu_total_non_formal_training_centre_status_a_1_na_2,0
edu_total_medicine_college,0
edu_total_arts_and_science_degree_college,0
health_hospiltal_alternative_medicine_numbers,0
infra_tap_water_treated,0
health_mobile_health_clinic_doctors_total_strength_numbers,0
health_family_welfare_centre_doctors_total_strength_numbers,0
health_mobile_health_clinic_numbers,0
health_mobile_health_clinic_doctors_in_position_numbers,0
health_family_welfare_centre_doctors_in_position_numbers,0
health_hospiltal_alternative_medicine_doctors_total_strength_numbers,0
edu_total_school_for_disabled,0
health_tb_clinic_doctors_in_position_numbers,0
health_tb_clinic_doctors_total_strength_numbers,0
health_tb_clinic_numbers,0
health_hospital_allopathic_numbers,0
health_hospital_allopathic_doctors_in_position_numbers,0
health_hospital_allopathic_doctors_total_strength_numbers,0
irrig_waterfall_area_in_hectares,0
infra_kuchha_roads,0
