feature,importance
derived_population_density,1019
derived_avg_household_size,1005
agri_area_under_non_agricultural_uses_in_hectares,996
derived_gender_ratio,965
derived_land_per_hh,946
total_geographical_area_in_hectares,927
irrig_area_irrigated_by_source_in_hectares,893
irrig_total_unirrigated_land_area_in_hectares,696
irrig_wells_tube_wells_area_in_hectares,682
irrig_net_area_sown_in_hectares,672
derived_total_health_facilities,493
derived_total_schools,493
agri_culturable_waste_land_area_in_hectares,374
agri_clusters,332
irrig_canals_area_in_hectares,294
social_clusters,291
health_clusters,276
agri_rice,237
edu_clusters,225
agri_barren_&_un_cultivable_land_area_in_hectares,196
agri_musturd,196
irrig_clusters,175
infra_clusters,160
edu_total_secondary_schools,158
infra_distance,148
social_distance_1,140
social_distance_7,139
edu_total_middle_schools,133
edu_distance,131
infra_distance_7,124
health_distance_2,123
agri_current_fallows_area_in_hectares,121
health_primary_heallth_sub_centre_doctors_total_strength_numbers,118
infra_distance_9,116
infra_no_system_garbage_on_road_street,113
irrig_hand_pump_functioning,112
health_primary_heallth_sub_centre_numbers,106
social_agricultural_credit_societies,105
irrig_well_functioning,104
infra_distance_2,103
health_distance_8,102
irrig_tank_pond_lake_functioning_all_round_the_year,100
edu_distance_3,100
infra_water_treatment_sewar_plants,99
health_distance_7,97
edu_total_senior_secondary_schools,94
edu_distance_2,92
edu_distance_4,92
social_distance_6,91
infra_distance_4,91
social_sports_field,89
health_distance_10,88
health_distance_4,87
health_distance_3,87
infra_distance_3,86
irrig_tube_wells_borehole_functioning,80
health_distance_9,80
infra_post_office_or_sub_post_office,78
edu_total_pre_primary_school,78
agri_forest_area_in_hectares,77
social_distance_8,76
health_distance,76
social_mandis_regular_market,74
infra_private_bus_service_status_a1_na2,73
edu_distance_1,73
infra_pco,71
derived_is_urban,71
edu_distance_8,70
social_distance_3,68
edu_distance_7,67
agri_others,65
health_distance_1,65
infra_distance_6,64
health_veterinary_hospital_doctors_in_position_numbers,62
health_distance_6,62
health_distance_5,62
irrig_river_canal_functioning_all_round_the_year,59
social_community_centre_with_without_tv,57
infra_closed_drainage,57
agri_permanent_pastures_and_other_grazing_land_area_in_hectares,57
edu_distance_5,57
agri_fallows_land_other_than_current_fallows_area_in_hectares,56
irrig_other_source_specify_area_in_hectares,55
social_distance_2,53
social_distance_9,53
agri_wheat,52
social_distance_4,52
infra_total_sanitation_campaign_tsc,52
health_primary_heallth_sub_centre_doctors_in_position_numbers,50
edu_distance10,47
agri_land_under_miscellaneous_tree_crops_etc_area_in_hectares,47
social_weekly_haat,45
health_primary_health_centre_doctors_total_strength_numbers,43
infra_community_waste_disposal_system_after_house_to_house_collection,42
health_veterinary_hospital_doctors_total_strength_numbers,42
social_distance_10,42
infra_distance_5,41
health_maternity_and_child_welfare_centre_doctors_total_strength_numbers,40
health_veterinary_hospital_numbers,40
health_maternity_and_child_welfare_centre_numbers,39
irrig_river_canal_status,37
infra_internet_cafes_common_service_centre_csc,34
social_agricultural_marketing_society,33
social_sports_club_recreation_centre,31
edu_total_vocational_training_school_iti,30
social_banks_on_any_kind,30
health_community_health_centre_numbers,28
infra_private_courier_facility,26
infra_highways,26
social_distance_5,25
edu_total_management_institute,24
health_dispensary_doctors_in_position_numbers,24
infra_telephone,23
infra_railway_station,22
infra_community_toilet_complex,22
edu_distance_9,21
infra_community_bio_gas_or_recycle_of_waste_for_production_use,21
edu_distance_6,20
social_assembly_polling_station,20
infra_open_drainage,17
infra_other_transport_auto_van_rickshaw_etc,17
infra_public_bus_service,17
infra_distance_10,17
infra_distance_8,16
edu_total_engineering_college,15
infra_distance_1,15
health_primary_health_centre_doctors_in_position_numbers,15
health_primary_health_centre_numbers,14
health_dispensary_doctors_total_strength_numbers,14
health_dispensary_numbers,11
health_maternity_and_child_welfare_centre_doctors_in_position_numbers,10
social_asha,9
social_public_library,8
health_family_welfare_centre_doctors_in_position_numbers,7
health_total_positions_doctors_support,7
irrig_tanks_lakes_area_in_hectares,7
infra_community_toilet_complex_excluding_bath_for_general_public,7
social_distance,5
health_total_required_strength_doctors_support,5
health_hospiltal_alternative_medicine_doctors_in_position_numbers,3
infra_other_pucca_roads,3
health_family_welfare_centre_doctors_total_strength_numbers,2
edu_total_non_formal_training_centre_status_a_1_na_2,0
edu_total_arts_and_science_degree_college,0
edu_total_medicine_college,0
infra_tap_water_treated,0
health_mobile_health_clinic_doctors_total_strength_numbers,0
health_mobile_health_clinic_numbers,0
health_family_welfare_centre_numbers,0
health_mobile_health_clinic_doctors_in_position_numbers,0
health_hospital_allopathic_doctors_total_strength_numbers,0
health_hospiltal_alternative_medicine_doctors_total_strength_numbers,0
edu_total_school_for_disabled,0
health_tb_clinic_doctors_in_position_numbers,0
health_tb_clinic_doctors_total_strength_numbers,0
health_tb_clinic_numbers,0
health_hospital_allopathic_numbers,0
health_hospital_allopathic_doctors_in_position_numbers,0
health_hospiltal_alternative_medicine_numbers,0
irrig_waterfall_area_in_hectares,0
infra_kuchha_roads,0
