feature,importance
derived_population_density,1659
derived_avg_household_size,1543
derived_gender_ratio,1452
agri_area_under_non_agricultural_uses_in_hectares,1440
derived_land_per_hh,1400
total_geographical_area_in_hectares,1254
irrig_area_irrigated_by_source_in_hectares,1192
irrig_wells_tube_wells_area_in_hectares,1033
irrig_net_area_sown_in_hectares,1006
irrig_total_unirrigated_land_area_in_hectares,823
derived_total_health_facilities,694
derived_total_schools,635
agri_culturable_waste_land_area_in_hectares,520
irrig_canals_area_in_hectares,468
health_clusters,427
agri_clusters,421
social_clusters,403
edu_clusters,365
agri_rice,319
agri_musturd,277
irrig_clusters,253
infra_clusters,251
agri_barren_&_un_cultivable_land_area_in_hectares,240
infra_distance,225
edu_total_middle_schools,199
edu_total_secondary_schools,188
infra_distance_9,187
social_distance_7,180
edu_distance,178
infra_distance_7,177
social_distance_1,168
health_distance_2,164
health_distance_7,161
health_primary_heallth_sub_centre_doctors_total_strength_numbers,156
health_distance_4,155
edu_distance_4,155
health_distance_3,154
health_distance_8,149
edu_distance_2,148
health_primary_heallth_sub_centre_numbers,138
irrig_hand_pump_functioning,134
infra_distance_2,134
social_distance_3,131
edu_distance_8,130
edu_distance_3,128
infra_no_system_garbage_on_road_street,128
social_distance_6,126
agri_current_fallows_area_in_hectares,126
health_distance_1,124
infra_distance_4,118
edu_total_pre_primary_school,117
health_distance,116
edu_total_senior_secondary_schools,112
health_distance_10,112
health_distance_6,112
social_distance_8,108
infra_water_treatment_sewar_plants,108
infra_distance_3,107
irrig_well_functioning,105
social_sports_field,104
health_distance_9,103
infra_distance_6,102
infra_post_office_or_sub_post_office,101
edu_distance_1,98
irrig_tank_pond_lake_functioning_all_round_the_year,97
irrig_tube_wells_borehole_functioning,93
social_distance_9,93
health_distance_5,92
edu_distance_7,90
social_distance_2,89
derived_is_urban,85
infra_private_bus_service_status_a1_na2,85
edu_distance10,83
infra_pco,81
agri_forest_area_in_hectares,81
agri_land_under_miscellaneous_tree_crops_etc_area_in_hectares,79
agri_others,74
health_primary_health_centre_doctors_total_strength_numbers,73
health_primary_heallth_sub_centre_doctors_in_position_numbers,72
social_agricultural_credit_societies,71
irrig_other_source_specify_area_in_hectares,69
agri_fallows_land_other_than_current_fallows_area_in_hectares,68
infra_closed_drainage,68
agri_permanent_pastures_and_other_grazing_land_area_in_hectares,67
edu_distance_5,67
social_distance_4,66
health_veterinary_hospital_doctors_total_strength_numbers,64
irrig_river_canal_functioning_all_round_the_year,64
infra_highways,62
health_veterinary_hospital_doctors_in_position_numbers,61
agri_wheat,53
health_dispensary_doctors_in_position_numbers,50
irrig_river_canal_status,49
health_maternity_and_child_welfare_centre_doctors_total_strength_numbers,49
social_community_centre_with_without_tv,49
health_maternity_and_child_welfare_centre_numbers,48
social_mandis_regular_market,48
infra_distance_5,38
infra_community_waste_disposal_system_after_house_to_house_collection,38
infra_total_sanitation_campaign_tsc,38
edu_distance_6,37
edu_distance_9,33
health_veterinary_hospital_numbers,33
infra_community_bio_gas_or_recycle_of_waste_for_production_use,32
edu_total_vocational_training_school_iti,32
social_distance_10,32
infra_public_bus_service,31
health_community_health_centre_numbers,29
social_distance_5,29
edu_total_management_institute,29
infra_community_toilet_complex,28
infra_internet_cafes_common_service_centre_csc,28
health_dispensary_doctors_total_strength_numbers,28
infra_distance_1,26
infra_telephone,26
social_agricultural_marketing_society,25
infra_open_drainage,23
health_primary_health_centre_doctors_in_position_numbers,23
infra_private_courier_facility,22
health_primary_health_centre_numbers,22
social_sports_club_recreation_centre,21
infra_distance_8,20
infra_railway_station,20
social_weekly_haat,19
edu_total_engineering_college,19
social_assembly_polling_station,17
social_banks_on_any_kind,17
infra_other_transport_auto_van_rickshaw_etc,17
infra_distance_10,16
health_maternity_and_child_welfare_centre_doctors_in_position_numbers,16
infra_community_toilet_complex_excluding_bath_for_general_public,12
health_total_required_strength_doctors_support,10
social_asha,8
social_public_library,7
health_total_positions_doctors_support,6
health_dispensary_numbers,5
social_distance,4
health_family_welfare_centre_doctors_in_position_numbers,3
edu_total_non_formal_training_centre_status_a_1_na_2,0
edu_total_arts_and_science_degree_college,0
edu_total_medicine_college,0
health_hospital_allopathic_doctors_in_position_numbers,0
health_hospiltal_alternative_medicine_numbers,0
health_hospiltal_alternative_medicine_doctors_total_strength_numbers,0
health_hospiltal_alternative_medicine_doctors_in_position_numbers,0
infra_tap_water_treated,0
health_mobile_health_clinic_doctors_total_strength_numbers,0
health_family_welfare_centre_doctors_total_strength_numbers,0
health_mobile_health_clinic_numbers,0
health_mobile_health_clinic_doctors_in_position_numbers,0
health_family_welfare_centre_numbers,0
edu_total_school_for_disabled,0
health_tb_clinic_numbers,0
health_tb_clinic_doctors_in_position_numbers,0
health_tb_clinic_doctors_total_strength_numbers,0
health_hospital_allopathic_doctors_total_strength_numbers,0
health_hospital_allopathic_numbers,0
irrig_waterfall_area_in_hectares,0
irrig_tanks_lakes_area_in_hectares,0
infra_kuchha_roads,0
infra_other_pucca_roads,0
