feature,importance
derived_population_density,453
derived_land_per_hh,446
derived_avg_household_size,407
irrig_area_irrigated_by_source_in_hectares,407
agri_area_under_non_agricultural_uses_in_hectares,404
total_geographical_area_in_hectares,400
derived_gender_ratio,336
irrig_total_unirrigated_land_area_in_hectares,324
derived_total_health_facilities,292
irrig_wells_tube_wells_area_in_hectares,272
derived_total_schools,246
irrig_net_area_sown_in_hectares,238
agri_clusters,193
agri_culturable_waste_land_area_in_hectares,167
social_clusters,165
health_clusters,145
edu_clusters,135
agri_rice,119
agri_musturd,117
irrig_canals_area_in_hectares,110
irrig_clusters,97
health_primary_heallth_sub_centre_numbers,94
health_primary_heallth_sub_centre_doctors_total_strength_numbers,90
infra_clusters,83
agri_barren_&_un_cultivable_land_area_in_hectares,81
edu_total_secondary_schools,75
irrig_tank_pond_lake_functioning_all_round_the_year,64
edu_total_middle_schools,64
social_distance_7,57
irrig_hand_pump_functioning,55
social_distance_1,53
infra_distance,52
health_distance_10,52
social_mandis_regular_market,52
infra_distance_7,52
health_primary_heallth_sub_centre_doctors_in_position_numbers,51
social_agricultural_credit_societies,49
derived_is_urban,49
social_sports_field,49
infra_distance_9,49
edu_distance_2,48
infra_distance_4,46
edu_total_senior_secondary_schools,45
health_distance_2,43
infra_distance_2,42
health_veterinary_hospital_doctors_total_strength_numbers,40
edu_distance,40
irrig_well_functioning,38
health_maternity_and_child_welfare_centre_numbers,38
irrig_tube_wells_borehole_functioning,38
social_community_centre_with_without_tv,37
agri_current_fallows_area_in_hectares,36
irrig_river_canal_functioning_all_round_the_year,36
health_distance_5,35
health_distance_8,35
edu_distance_4,35
edu_distance_3,35
infra_water_treatment_sewar_plants,35
health_dispensary_doctors_in_position_numbers,34
health_distance,34
infra_post_office_or_sub_post_office,33
health_maternity_and_child_welfare_centre_doctors_total_strength_numbers,30
social_distance_6,30
health_veterinary_hospital_doctors_in_position_numbers,29
edu_total_pre_primary_school,29
health_community_health_centre_numbers,29
edu_distance_7,28
infra_private_bus_service_status_a1_na2,28
health_distance_7,28
infra_distance_3,28
health_distance_3,27
social_distance_3,26
infra_distance_6,26
infra_highways,26
infra_pco,25
infra_no_system_garbage_on_road_street,25
irrig_river_canal_status,25
health_distance_4,25
edu_total_vocational_training_school_iti,25
agri_wheat,24
edu_distance_8,24
social_distance_9,23
health_distance_9,23
social_distance_8,22
infra_closed_drainage,22
edu_distance_1,21
health_distance_1,21
edu_distance10,21
social_distance_2,20
edu_distance_5,20
agri_forest_area_in_hectares,19
social_weekly_haat,18
health_veterinary_hospital_numbers,18
social_distance_4,17
agri_permanent_pastures_and_other_grazing_land_area_in_hectares,17
health_primary_health_centre_doctors_total_strength_numbers,16
social_agricultural_marketing_society,15
health_primary_health_centre_doctors_in_position_numbers,14
infra_distance_1,14
agri_fallows_land_other_than_current_fallows_area_in_hectares,13
health_distance_6,13
health_dispensary_doctors_total_strength_numbers,12
edu_distance_9,12
social_assembly_polling_station,12
edu_total_management_institute,11
infra_telephone,11
social_distance_10,9
infra_railway_station,9
infra_internet_cafes_common_service_centre_csc,9
edu_distance_6,9
social_banks_on_any_kind,8
agri_others,7
edu_total_engineering_college,7
infra_public_bus_service,7
infra_distance_5,7
health_total_positions_doctors_support,7
infra_community_toilet_complex,6
health_dispensary_numbers,5
health_total_required_strength_doctors_support,5
social_sports_club_recreation_centre,5
agri_land_under_miscellaneous_tree_crops_etc_area_in_hectares,5
health_primary_health_centre_numbers,5
health_maternity_and_child_welfare_centre_doctors_in_position_numbers,4
infra_private_courier_facility,3
social_asha,3
irrig_other_source_specify_area_in_hectares,3
infra_community_bio_gas_or_recycle_of_waste_for_production_use,3
health_hospiltal_alternative_medicine_doctors_in_position_numbers,3
social_distance_5,3
infra_total_sanitation_campaign_tsc,2
social_distance,2
infra_community_toilet_complex_excluding_bath_for_general_public,2
infra_other_pucca_roads,1
social_public_library,1
health_family_welfare_centre_numbers,1
edu_total_arts_and_science_degree_college,0
edu_total_medicine_college,0
edu_total_non_formal_training_centre_status_a_1_na_2,0
infra_community_waste_disposal_system_after_house_to_house_collection,0
health_tb_clinic_numbers,0
health_hospital_allopathic_numbers,0
health_hospital_allopathic_doctors_in_position_numbers,0
health_hospital_allopathic_doctors_total_strength_numbers,0
health_hospiltal_alternative_medicine_doctors_total_strength_numbers,0
health_hospiltal_alternative_medicine_numbers,0
edu_total_school_for_disabled,0
infra_tap_water_treated,0
infra_open_drainage,0
health_mobile_health_clinic_numbers,0
health_mobile_health_clinic_doctors_in_position_numbers,0
health_mobile_health_clinic_doctors_total_strength_numbers,0
health_family_welfare_centre_doctors_total_strength_numbers,0
health_family_welfare_centre_doctors_in_position_numbers,0
health_tb_clinic_doctors_in_position_numbers,0
health_tb_clinic_doctors_total_strength_numbers,0
irrig_waterfall_area_in_hectares,0
irrig_tanks_lakes_area_in_hectares,0
infra_other_transport_auto_van_rickshaw_etc,0
infra_distance_8,0
infra_distance_10,0
infra_kuchha_roads,0
