feature,importance
derived_total_health_facilities,753636.121003747
edu_distance,233216.22302865982
irrig_area_irrigated_by_source_in_hectares,169931.55751609802
derived_total_schools,168233.91229999065
derived_land_per_hh,105593.95833933353
irrig_total_unirrigated_land_area_in_hectares,86426.07037568092
edu_total_secondary_schools,82097.45679545403
derived_population_density,77687.30061805248
social_agricultural_credit_societies,45826.95930695534
agri_area_under_non_agricultural_uses_in_hectares,36254.80885505676
irrig_tank_pond_lake_functioning_all_round_the_year,34196.84004807472
agri_wheat,31847.565364837646
derived_avg_household_size,30596.138238191605
health_clusters,28211.247428655624
agri_rice,27375.858797073364
social_mandis_regular_market,26825.400520324707
irrig_canals_area_in_hectares,23817.52849507332
irrig_river_canal_functioning_all_round_the_year,22213.209805727005
social_agricultural_marketing_society,22068.784255743027
edu_total_middle_schools,20397.001324892044
total_geographical_area_in_hectares,18203.788189530373
irrig_wells_tube_wells_area_in_hectares,17111.561164855957
health_primary_heallth_sub_centre_numbers,14911.715087532997
health_primary_heallth_sub_centre_doctors_total_strength_numbers,12815.733530044556
health_veterinary_hospital_doctors_in_position_numbers,12693.272429943085
irrig_river_canal_status,12497.956230163574
infra_pco,10645.182315587997
irrig_net_area_sown_in_hectares,10398.118081450462
agri_clusters,9850.601073265076
derived_gender_ratio,9783.77326309681
irrig_clusters,9549.552972435951
infra_no_system_garbage_on_road_street,9441.03455901146
social_banks_on_any_kind,8022.016731500626
infra_closed_drainage,7313.754379034042
agri_barren_&_un_cultivable_land_area_in_hectares,7228.335528731346
edu_clusters,6529.650773644447
derived_is_urban,6481.13257586956
edu_total_senior_secondary_schools,6157.035324573517
infra_private_bus_service_status_a1_na2,6001.097615718842
social_distance_2,5723.078169584274
irrig_hand_pump_functioning,5647.058982849121
social_clusters,5528.380056262016
infra_telephone,5329.520877838135
irrig_well_functioning,5312.530461072922
social_community_centre_with_without_tv,5309.7379314899445
agri_musturd,5299.949237108231
health_maternity_and_child_welfare_centre_numbers,5004.478759765625
agri_culturable_waste_land_area_in_hectares,4974.110065579414
social_sports_field,4891.615144848824
social_distance_1,4728.076689481735
social_weekly_haat,4534.114527225494
infra_water_treatment_sewar_plants,4326.847673416138
infra_post_office_or_sub_post_office,3892.1418039798737
infra_distance_2,3449.4661041498184
health_veterinary_hospital_numbers,3440.126953125
infra_public_bus_service,3366.6031634807587
irrig_tube_wells_borehole_functioning,3249.5993312597275
edu_total_pre_primary_school,3104.7035167217255
social_distance_6,2729.7660245895386
infra_clusters,2564.182117819786
edu_distance_2,2506.365285873413
social_asha,2478.1516151428223
social_distance_4,2384.6101336479187
infra_distance_4,2382.9128003120422
infra_distance,2298.7293634414673
health_distance_3,1878.2796932458878
social_distance_7,1866.332612991333
infra_community_toilet_complex,1839.3968064785004
infra_distance_9,1807.945677638054
health_distance_6,1786.5201075077057
edu_distance_4,1723.9170064926147
infra_distance_7,1645.6753098964691
health_distance_2,1610.7512160539627
health_distance,1587.2466323375702
health_distance_5,1569.7072014808655
