District.Name,total_population,n_villages,agriculture_index,education_index,health_index,infrastructure_index,irrigation_index,social_index,composite_index_equal,composite_index_sdg,composite_index_expert,composite_index_shap,composite_index_lasso,composite_index_ensemble,rank_equal,rank_sdg,rank_expert,rank_shap,rank_lasso,rank_ensemble
Hisar,1190443,269,70.64800218232162,34.6016120492361,40.643464918160845,44.86918444486232,69.21537287746028,36.27749120845489,49.37585461341601,48.41882168592956,53.14996345375683,47.04609190052293,49.398948420486455,49.477936014822355,1,1,1,2,1,1
Kaithal,838293,269,68.26153789862221,36.78832615175501,37.719722372928594,46.88650558763037,73.19623085219469,32.164600364470814,49.16948720460028,48.25569701079732,53.130273798388664,46.27996460798362,49.190974409163324,49.20527940618665,2,2,2,5,2,2
Jhajjar,715066,260,67.09169879476647,37.20873078550826,41.934935649276206,42.94607979576444,69.02287091624638,32.03830891134525,48.37377080881784,47.98840838657182,52.09479170765775,46.85780628729659,48.3910868818456,48.74117281443792,5,3,5,3,5,3
Jind,1028569,306,68.12440885788081,33.3044101749375,45.98508766887181,42.011900842914024,64.03915865395544,33.609543129013865,47.84575155459557,47.64442851831939,51.39509806117119,47.20541386388406,47.863867764083615,48.39091195241076,7,4,6,1,7,5
Sirsa,975941,330,72.79374288165661,31.798152449425896,42.578789874180764,46.01875364147941,61.58752213128568,35.661304252340386,48.40637753839479,47.63046118182767,52.14142496666825,46.456940431322344,48.42734049347924,48.612508922338456,4,5,4,4,4,4
Fatehabad,762423,245,71.23273580471538,31.256414597278532,35.2530586647372,48.35170380671696,72.8202140794452,30.88186264929923,48.29933160036542,47.01343190420156,52.689589592307705,44.670647914460076,48.326293795406805,48.199858961348305,6,6,3,9,6,7
Bhiwani,1313123,444,69.47735906305654,41.3039630622294,36.925714934935556,43.8730972723224,43.98484301937923,58.47667250770364,49.006941643271134,46.940183500163855,50.32939191083345,45.75293664594826,49.022863564651324,48.210463452973606,3,7,8,6,3,6
Rohtak,615040,143,56.767043221867795,41.01202230052942,41.25285633965702,44.77034276516278,65.71215842304692,32.37202859434616,46.981075274101684,46.84025306596638,49.62667856031333,45.73211112339844,46.99197496873518,47.234418598503,9,8,10,7,9,9
Panipat,650352,186,62.43862676143533,34.98894588165464,37.801161526692766,48.733668265507795,69.23050310383505,32.798509935132564,47.66523591237635,46.7883502711341,50.964174655717365,44.94852824926686,47.685824162842685,47.61042265026747,8,9,7,8,8,8
Sonipat,996637,332,63.36901295614459,38.231679097383065,38.9329181664225,45.32256496215822,61.181278399858414,31.83661276205211,46.47901105733648,46.04415508501164,49.63524452910761,44.52543522951015,46.49131817286016,46.635032814765204,10,10,9,10,10,10
Karnal,1050514,434,64.82016169630332,32.12053597062237,36.2318593798396,42.57375137087087,64.38864108191225,30.846715131830702,45.163610771896515,44.33412667463041,48.80636216184128,42.77485788799725,45.18390805315525,45.25257310990414,12,11,12,11,12,11
Kurukshetra,685430,415,66.89280314092656,30.656768916719,35.090763693249805,45.35722532188692,60.47438280698269,29.859312451064778,44.72187605513829,43.79863764223215,48.469722281513015,41.88384542745194,44.74149784454149,44.723115850175375,13,12,13,12,13,13
Palwal ,806164,280,63.315371772309916,32.69980212081935,28.726383877538225,45.23188838333971,73.26543489414894,28.839260952692833,45.41695513505232,43.75582118431989,49.20078848294039,41.05039577519467,45.23041165033053,45.100309969353546,11,13,11,15,11,12
Ambala,627576,470,64.11632323207824,33.3583146964584,32.81096041472031,44.46812935424403,61.36943773573051,28.5140835001126,44.10620815555734,43.218894941290934,47.749987374990326,41.078292920988524,44.12329210466909,44.055335099499246,14,14,14,13,14,14
Rewari,666902,403,64.33038348573163,33.9963191191628,34.71268670649774,43.06496372494796,57.20920852745641,27.235035232562904,43.42476613272658,42.89162238443369,47.014036532771755,41.062435533511966,43.437717581241934,43.56611563293719,16,15,15,14,16,15
Faridabad,370878,149,58.731898690749524,33.64511836358231,31.994120206547812,44.66721173103003,62.06412566395121,31.222587032213646,43.72084361467909,42.669297840434396,46.76402605387302,40.622736291708485,43.73904911019864,43.50319058217873,15,16,16,16,15,16
Yamunanagar,741376,636,62.308249349602974,29.94781794343939,30.14959900490184,43.75813317142076,55.931026848832936,27.22083301860324,41.55260988946686,40.54865804725216,45.06368352699196,38.308146024457514,41.56976006036187,41.40857150970607,17,17,17,18,17,17
Mahendragarh,789233,370,64.58541586353606,32.7267570532358,32.47862664353408,39.71399532385058,48.437623710851675,27.860268767271517,40.967114560379954,40.36159018299358,44.35781243787458,38.63281319184052,40.97743871869577,41.059353818356875,18,18,18,17,18,18
Gurgaon,472179,242,60.59650858637978,33.24754605001586,27.155656594066308,40.34599768913302,55.95094995925499,26.593545103304752,40.648367330359115,39.63179630406539,44.11105169875869,37.246913630456255,40.662647335130465,40.46015525975398,19,19,19,19,19,19
Panchkula,248063,219,49.46653779836008,33.12767853585671,33.3969168399598,41.939525385544336,33.232162785380964,26.167213033248277,36.22167239639169,36.287220115878924,37.89940642419517,35.02177846888882,36.220067617476445,36.330029004566214,20,20,21,20,21,20
Mewat ,965157,439,56.22469508030686,21.557877792428,23.584100183441187,38.135014342842915,52.62354158071532,25.134396752721745,36.209937622076005,34.76852793019783,39.58587060929877,32.56166023422827,36.233151666321014,35.87182961242438,21,21,20,21,20,21
