District.Name,Village.Name,Total.Population.of.Village,Total.Households,population_stratum,agriculture_index,education_index,health_index,infrastructure_index,irrigation_index,social_index,composite_index_equal,composite_index_sdg,composite_index_expert
Panchkula,Maranwala (95),3964,757,high,46.28142854621092,46.446900736887734,50.77796823895653,41.31904761904762,23.068702290076338,39.0,41.14900790519652,42.48424897541691,40.86568508380178
Panchkula,Karanpur (88),2988,543,high,49.26085708595461,31.975942782834856,58.32023091776018,46.404761904761905,19.285024154589372,24.499999999999996,38.29113614098348,40.667842757802894,39.12735944321007
Panchkula,Paploha (139),2670,530,high,43.35010423762049,22.406371911573473,5.150628521889901,42.00476190476191,8.272727272727273,24.9,24.347432308095506,22.30307052505362,25.41633586468437
Panchkula,Surajpur (109),4311,856,high,39.60920418982837,17.834416991764193,29.69598455294164,44.11904761904762,72.14864864864865,22.366666666666664,37.628994778149526,36.60908127188361,40.31611481841651
Panchkula,Rampur Seori (Part)(106),5236,1077,high,30.70744049301747,23.67728651928912,5.150628521889901,43.60476190476191,59.0,20.23333333333333,30.395575128715283,28.043278127330538,32.36509499847884
Panchkula,Bitna (153),3608,695,high,38.39424140675038,59.453836150845255,28.40534736178429,43.2047619047619,8.752293577981654,19.833333333333332,33.00730228924281,34.52813193737255,32.99194421322598
Panchkula,Bharon Ki Ser (Part) (149),2837,609,high,40.094278283485046,9.05071521456437,50.15762304448911,31.67142857142857,12.451612903225806,23.3,27.78760966953215,29.31214676775606,28.475857176088724
Panchkula,Tipra (157),3587,714,high,31.185883542840628,43.11703511053316,43.51696418016314,31.471428571428568,4.0,20.23333333333333,28.9207741230498,31.524578217621134,28.335618398362225
Panchkula,Suketri (376),5761,1159,high,34.19356504465152,27.953185955786736,41.70341253891319,43.31904761904762,10.237288135593218,20.23333333333333,29.60663877122094,31.202308779112833,29.56552913867699
Panchkula,Nada (199),2808,584,high,30.51490748429348,21.718248807975726,50.4588800882689,35.35238095238095,52.0,32.73333333333333,37.12962511104206,37.91179638249687,37.43148668170054
Panchkula,Nagal Moginand (229),3256,616,high,30.642313613965495,9.05071521456437,5.150628521889901,38.00476190476191,4.0,22.366666666666664,18.202514320308055,16.231528167861125,18.528160916340468
Panchkula,Bihla (237),3068,577,high,59.809946164510926,31.138274815778068,34.09021949008945,46.404761904761905,19.153310104529616,21.833333333333332,35.40497430216722,35.73874589508167,37.7114703269614
Panchkula,Bhanoo (234),2992,395,high,42.193981051458294,11.773732119635891,5.150628521889901,45.60476190476191,24.925373134328357,20.366666666666667,25.002523899790173,22.587687634648603,26.949604938340066
Panchkula,Kot (238),3876,683,high,54.689925028049934,36.57910706545297,65.058813098475,45.238095238095234,39.59036144578313,37.0,46.359383645976045,48.208281944498594,47.32195585647259
Panchkula,Barwala (246),8307,1569,high,54.892537590701515,57.822930212397054,48.33248610946921,55.404761904761905,53.48110831234257,66.0,55.988970688278705,54.81446874101761,55.25338279413812
Panchkula,Bhareli (249),3843,741,high,57.910690371290485,28.632856523623758,51.670902785987316,43.03809523809523,65.22182254196642,23.3,44.9623945768272,45.8998882239244,48.353315283371856
Panchkula,Bataur (247),4946,926,high,49.5562844245944,32.111400086692676,38.04498167632108,45.63809523809523,54.70410367170626,37.4,42.909144182901606,42.158297936578194,44.439063390656194
Panchkula,Khatauli (3),3552,604,high,59.65041938457548,48.72475075856091,59.26025534933208,45.63809523809523,55.38380281690141,28.5,49.52622059124419,51.510861604981024,51.882830611422385
Panchkula,Rattewali (222),2812,504,high,58.0562579852673,38.06371911573472,60.081175867911895,51.838095238095235,56.0,35.4,49.90654136783485,51.057190773629294,51.751513029578106
Panchkula,Bhoj Mataur (317),3234,622,high,58.56136972356624,30.643042912873867,28.320822004177007,46.238095238095234,14.695652173913043,21.966666666666665,33.404274786548676,33.32974832062187,35.55643355561275
Panchkula,Bhoj Nagal (326),3325,634,high,48.721428381867334,24.60078023407022,32.87652204752335,44.238095238095234,8.675392670157066,37.0,32.6853697619522,32.08452400221283,32.87274525745157
Panchkula,Bhoj Rajpura (313),2659,458,high,47.70241669208582,17.912657130472475,5.150628521889901,44.00476190476191,2.203252032520325,24.499999999999996,23.578952713621735,21.40675315097218,24.876461713094162
Panchkula,Garhi (245),3885,752,high,57.05128513862801,44.12136974425662,30.64960397210072,40.51904761904762,32.455635491606714,22.366666666666664,37.86060143871773,38.22723684593552,40.28411824995575
Panchkula,Mauli (16),4404,817,high,54.02579107065453,44.59016038144777,48.193442881349256,49.00476190476191,41.46712802768166,35.4,45.44688071098252,46.18104494709158,46.608128148333805
Ambala,Fatehgarh (31),2820,548,high,59.777621174551115,41.065452969224104,50.308251566379006,41.91904761904762,64.0,22.9,46.66172888820031,47.93465380447938,50.028318116835386
Ambala,Jatwar (41),4230,787,high,69.17852272057924,46.514087559601215,39.237597036686765,59.69047619047619,63.4553376906318,39.0,52.846003532995866,51.86086726134502,55.70202233628579
Ambala,Bharog (46),2868,551,high,60.24509526771075,40.821629822280016,56.12473893683256,45.238095238095234,61.77070063694268,24.499999999999996,48.116709983643545,49.733594370076446,51.1930835438974
Ambala,Dhanana (36),4052,711,high,64.07425267093807,32.67793671434764,42.24914292469559,47.31904761904762,55.26559714795009,25.433333333333334,44.503218401718726,44.64004102306713,47.9519350193715
Ambala,Korwa Khurd (52),2957,614,high,67.69231220629727,46.51192024273949,63.91072624817749,49.60476190476191,56.0,39.0,53.786620100329365,55.174626727251145,56.027189310926154
Ambala,Patrehri (103),5645,1038,high,62.35510944216959,28.245773732119638,52.94800873417106,43.51904761904762,58.48966613672496,37.93333333333334,47.2484898329277,47.334063742991354,49.786968434021475
Ambala,Shahzadpur (58),7278,1356,high,62.00156244592009,44.11486779367144,51.039509306047776,64.69047619047619,70.50234741784038,64.0,59.39146052565931,57.56200879338173,59.977588088577406
Ambala,Kohra Bhura (78),2757,521,high,67.1395485897231,59.068920676202865,5.150628521889901,44.31904761904762,50.60402684563758,57.5,47.29702870875018,43.16083472387429,48.93648203912935
Ambala,Dera (190),7872,1570,high,61.36434825049058,18.047680970957956,27.794164006777788,48.2047619047619,55.79728317659352,22.366666666666664,38.929150829374734,37.5997028623296,42.84420139698266
Ambala,Panjlasa (Part)(96),3203,654,high,64.95974804001895,20.146944083224966,5.150628521889901,35.752380952380946,52.0,18.23333333333333,32.70717248847468,30.047198629310788,37.62076337696244
Ambala,Kurali (120),4222,770,high,65.81191285636812,18.109666233203292,53.26274776372306,40.91904761904762,56.0,24.499999999999996,43.10056241205702,43.797264258883786,46.94669745648813
Ambala,Gadauli (135),4949,888,high,74.97926844269497,30.09882964889467,40.510304606533474,41.95238095238095,56.59498207885304,24.499999999999996,44.772627621559515,44.626336802501655,49.398040807615715
Ambala,Badhauli (110),4442,747,high,73.98865592122928,36.28088426527958,47.97996217046932,48.238095238095234,59.126705653021446,33.8,49.90238387468248,49.83418591752515,53.577346361988226
Ambala,Panjokhara (29),4885,969,high,66.9074816349353,39.5765062852189,57.256252187599245,51.60476190476191,62.8241308793456,24.9,50.511522148643486,51.91982046680001,54.04732464123995
Ambala,Kalarheri (28),4472,931,high,55.16861683263199,21.97052449068054,5.150628521889901,51.60476190476191,62.644578313253014,22.366666666666664,36.48429612164734,33.331122252872284,40.36662377507512
Ambala,Dhulkot (Part)(60),2812,568,high,30.80656059562967,12.093411356740356,5.150628521889901,39.238095238095234,64.0,20.23333333333333,28.58700484094808,25.836371110212617,30.997293749749574
Ambala,Balana (173),4151,779,high,66.17430645860425,38.30212397052449,30.037336958663357,45.52380952380952,67.69096509240246,37.4,47.521423667334005,45.818121194993175,50.90126020108116
Ambala,Anandpur Jalbera (121),3032,585,high,66.736025862191,36.90962288686606,57.898687788154625,44.63809523809523,61.992498731286474,43.199999999999996,51.895821751098886,52.181589499147776,54.319467098772435
Ambala,Machhonda (105),5123,1054,high,54.708674570456246,15.959687906371911,44.63037396067305,44.63809523809523,59.809160305343504,22.366666666666664,40.3521097746011,40.459587255193554,43.659890936120455
Ambala,Shahpur (125),5213,1038,high,58.20324710590648,43.414824447334205,44.158982543247824,55.89047619047619,59.46483180428134,34.86666666666667,49.333171459652114,49.243160457045065,51.45008728115829
Ambala,Khojkipur( Part) (101),6235,1341,high,38.37227139015491,10.354139575205895,5.150628521889901,44.07142857142857,65.5,22.366666666666664,30.96918912089099,27.78670670641784,33.86616401448405
Ambala,Rampur (Part)(100),2823,611,high,39.15048138294699,9.05071521456437,5.150628521889901,51.60476190476191,56.29629629629629,32.73333333333333,32.33103610896546,28.42886444431946,34.19112878451177
Ambala,Salarheri (128),3646,757,high,56.970019838068204,36.63025574338969,5.150628521889901,44.43809523809524,61.385620915032675,22.366666666666664,37.823547820523736,35.2694353444965,41.689142734696475
Ambala,Dukheri (161),4231,733,high,69.54751868910427,32.01690507152146,39.21809118493124,46.404761904761905,60.0,24.499999999999996,45.28121280838647,45.05074589961703,49.482843396458264
Ambala,Begampur (107),4622,1031,high,44.87194899477038,10.549198092761163,5.150628521889901,31.471428571428568,56.0,17.166666666666664,27.53497847458611,24.965670050621213,31.210342193271206
Ambala,Bhano Kheri (180),2710,517,high,74.13912400291855,9.05071521456437,61.09222918390668,47.404761904761905,85.0,37.0,52.28113838435858,51.76478322504162,56.86693694621459
Ambala,Nanyola (292),4184,829,high,61.73353887886796,56.616818378846986,56.11748827678607,46.11904761904762,53.63834567432441,47.33333333333333,53.59309536020106,54.30970890413525,54.72239032911731
Ambala,Chhapra (321),2634,487,high,68.82661891590733,47.61725184221934,36.70725460062261,45.03809523809523,63.32553606237817,34.86666666666667,49.39690388764822,48.765468217723296,52.762818860259706
Ambala,Sonta (316),2792,533,high,66.78834845916253,32.9566536627655,61.3831422153919,51.29047619047619,58.257425742574256,24.499999999999996,49.19600771172839,50.83755384523303,52.643113073600524
Ambala,Jansui (308),2845,611,high,67.27532148533447,37.93368010403121,50.06117744414233,54.69047619047619,60.060658746257126,24.499999999999996,49.08688566170688,49.85599884515199,52.683762181382505
Ambala,Mohra (188),4264,883,high,63.59448840749786,45.9345470307759,48.96175670883083,51.2047619047619,59.32975871313673,45.73333333333333,52.45977434972277,52.120033270505694,54.25306702449044
Ambala,Pelakhni (21),4039,726,high,67.71145629403107,27.107065452969223,50.31632974740907,51.12380952380952,52.30271668822768,26.5,45.84356295107443,46.32119290335635,49.32048811978147
Ambala,Kesri (221),5055,923,high,67.8214086674982,52.47204161248375,35.99962564526934,56.857142857142854,71.5,57.666666666666664,57.05281424151014,54.687764129176905,58.8213403507756
Ambala,Behta (158),7865,1500,high,63.820247425579026,44.537494581707854,37.350139890451985,51.60952380952381,75.5,43.00000000000001,52.636234284543775,51.18449957422,55.37963559864731
Ambala,Sambhalkha (130),5511,928,high,63.28116292030466,37.89683571738188,42.828249990148564,44.838095238095235,64.0,24.499999999999996,46.22405731098839,46.55431836477351,49.904767871920015
Ambala,Tepla (133),2803,536,high,60.36654622340901,52.07325530992632,60.20904756275368,48.2047619047619,64.0,34.46666666666667,53.22004627791961,54.79927583856599,55.411362939135195
Ambala,Samalheri (94),4115,762,high,65.54524402677174,32.40702210663199,60.57601371320488,41.752380952380946,67.5,23.43333333333333,48.53566568872048,50.18838492983386,52.43995685585894
Ambala,Gola (16),2560,478,high,66.75982168018551,31.403771131339404,5.150628521889901,37.43809523809524,69.71428571428572,23.43333333333333,38.983322603188185,35.99857508495866,44.07502012993554
Ambala,Sarda Heri (6),3184,565,high,62.222268195610205,30.919375812743823,46.79936556724593,50.804761904761904,58.85321100917431,32.833333333333336,47.072052637144914,46.949086054125544,49.88806807678349
Ambala,Dhanaura (80),3547,635,high,63.77561530153104,50.07390550498483,53.879398668085265,48.404761904761905,70.77272727272728,26.5,52.23440144201505,53.577596439871314,55.602159191603015
Ambala,Nahawani (92),3067,564,high,60.84633136896414,47.55136540962289,65.01448161721244,53.29047619047619,59.81785063752277,40.99999999999999,54.58675087063307,55.95709221577216,56.153601452342315
Ambala,Kalpi (136),2637,488,high,58.826604740865605,32.25964456003467,52.318437955629115,52.49047619047619,59.68944099378882,18.23333333333333,45.636322962354626,47.00585002301713,49.028156523228496
Ambala,Patti Bagheru (90),2994,557,high,52.7745855006502,47.89813610749892,29.588702368286242,59.29047619047619,59.58847736625515,42.099999999999994,48.540062922194444,46.93483367217858,49.83793904835278
Ambala,Mullana (139),4956,910,high,63.0888266479944,64.48677936714348,42.65511251615954,56.29047619047619,60.0,64.93333333333332,58.57575467585116,56.961362761572495,58.780395206398815
Ambala,Sohana (152),2865,512,high,69.66702746673059,49.501517121803204,49.80218307916618,47.92380952380952,55.341098169717135,33.8,51.00593922687111,51.67063946819077,53.94910295934291
Ambala,Sirsgarh (140),2924,562,high,57.430207785739974,11.871261378413525,5.150628521889901,43.60476190476191,59.392712550607285,36.86666666666667,35.71937313467988,31.412728408988222,39.01675889398292
Ambala,Dhin (143),5196,992,high,65.74419297041679,40.96358907672302,44.252177168302005,51.69047619047619,67.5,35.4,50.925072567653,50.53596248155405,54.01198460792938
Ambala,Tandwal (216),3229,557,high,63.969134342996504,54.81274382314695,56.32846672183473,48.2047619047619,70.66492693110646,38.46666666666667,55.40778339841887,56.31715558858447,57.87383150609862
Ambala,Subhri (232),3031,564,high,65.62548895453344,20.759211096662334,5.150628521889901,34.238095238095234,56.0,20.9,33.77890396853015,30.909036978699245,38.71856246713048
Ambala,Adhoya Musalmana (209),2913,570,high,61.62790732196828,40.6861725184222,59.091795720534336,47.49047619047619,71.5,34.86666666666667,52.54383640301128,53.48960762735136,55.283910161573644
Ambala,Thamber (208),6151,1022,high,67.18675428264672,23.940615517988732,40.18629073570556,49.52380952380952,60.0,35.93333333333333,46.12846723224731,44.9346136918259,49.43762927062058
Ambala,Adhoya Hindwan (235),3249,581,high,65.8061854320185,9.05071521456437,46.27487488670843,39.804761904761904,60.0,22.366666666666664,40.55053401745331,40.457170531773706,44.957765825576494
Ambala,Ugala (244),7307,1333,high,67.17847602697417,53.68357173818813,47.68754824308255,45.52380952380952,60.0,24.9,49.82890092200906,51.05394424102582,53.31885843250557
Yamunanagar,Jagdhauli (343),3342,617,high,65.85002943879907,38.95231902904205,5.150628521889901,45.838095238095235,60.0,26.5,40.38184537130437,37.48133963781503,44.60366377805384
Yamunanagar,Kalawar (351),5735,1041,high,67.03838793914598,60.651061985262245,41.80527643141427,55.404761904761905,60.0,39.0,53.98324804343073,53.84800398149219,56.338762033002254
Yamunanagar,Bal Chhapar (365),3374,636,high,65.82871509271844,11.307758994364976,32.621862316270644,45.804761904761904,56.0,24.499999999999996,39.34384971801933,38.012038927562706,43.567336255489245
Yamunanagar,Talakaur (362),3303,609,high,65.48996669261001,53.49934980494149,45.74604957244749,41.55238095238095,71.5,23.966666666666665,50.292402281507755,51.314401167515484,54.188825389284666
Yamunanagar,Chhapper Mansurpur (443),2918,557,high,64.87024454192242,43.37061118335501,5.150628521889901,36.31904761904762,56.0,22.366666666666664,38.012866422146935,35.77683985795564,42.380270900791146
Yamunanagar,Bham Bholi (435),3407,628,high,64.2650953180691,40.7295188556567,5.150628521889901,40.51904761904762,60.0,34.33333333333333,40.83293727466611,37.584515675504655,44.459486412339736
Yamunanagar,Saran (449),4517,815,high,66.05685116130866,40.681837884698744,47.654864641210544,41.238095238095234,60.0,25.433333333333334,46.84416370977442,47.6876590304863,50.49376578826118
Yamunanagar,Uncha Chandana (456),3342,648,high,62.33167795166136,44.91352405721717,32.811502541671594,47.17142857142857,60.0,25.433333333333334,45.443577742552,45.15437975865815,48.860721096796276
Yamunanagar,Gundana (179),2514,438,high,72.74300361894879,34.51712180320763,53.41510028766206,40.838095238095235,60.0,26.5,48.00222015798562,48.94436426111365,52.151298504081936
Yamunanagar,Ghalaur (159),3354,661,high,71.92620651363949,19.69180754226268,45.28874571462348,38.35238095238095,59.57729468599034,22.9,42.95607256814949,43.02893025991002,47.686950696998004
Yamunanagar,Bapa (55),2733,537,high,65.25256397674019,28.830082358040748,5.150628521889901,44.91904761904762,60.0,23.43333333333333,37.93094263484196,34.92274867478213,42.49143810236512
Yamunanagar,Jubal (41),2833,508,high,62.40894135710593,21.57737321196359,5.150628521889901,41.35238095238095,56.0,25.433333333333334,35.32044289611228,32.11066345262156,39.55762607554499
Yamunanagar,Bakana (40),2736,495,high,64.92838257381274,24.24967490247074,51.327974149820704,44.51904761904762,60.0,25.433333333333334,45.07640209641419,45.642376380211715,48.78993347748738
Yamunanagar,Nachraon (9),2876,480,high,65.92753831633951,48.11465106198526,65.69176813650155,48.60476190476191,58.69565217391305,38.46666666666667,54.250173043361336,55.876731772441275,56.42935884602146
Yamunanagar,Alahar (1),3760,728,high,63.866659610286185,54.22756827048115,63.25511289750562,45.31904761904762,60.0,35.4,53.67806473288676,55.57714796287271,55.92692422062671
Yamunanagar,Gumthala Rao (21),4455,832,high,67.80420808485536,40.95275249241439,56.95147180517792,46.11904761904762,60.0,32.833333333333336,50.776802222471424,51.80024013869614,53.837876142043164
